setname;date;operation;rowGroup;rowGroupIndex;category;categoryIndex;subCategory;subCategoryIndex;columnGroup;columnGroupIndex;columnSubGroup;columnSubGroupIndex;pp1;ac1;fc1;pl1;pp2;ac2;fc2;pl2;pp3;ac3;fc3;pl3;pp4;ac4;fc4;pl4
europe;2020-10-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;36;31;32;34;35;37;39;35;20;15;18;20;37;35;38;35
europe;2020-10-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;63;65;66;61;51;46;53;50;31;26;28;29;62;57;59;63
europe;2020-11-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;27;30;24;27;38;37;39;37;58;61;60;57;26;23;29;28
europe;2020-11-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;10;10;10;12;54;50;52;54;55;57;54;53;10;11;12;10
europe;2020-11-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;15;12;13;15;51;54;51;52;32;36;28;32;13;15;14;14
europe;2020-11-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;36;30;40;36;40;41;35;39;23;22;26;22;42;43;36;40
europe;2020-11-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;59;64;60;58;53;58;57;53;30;25;27;30;58;61;59;58
europe;2020-12-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;23;22;27;25;38;42;38;38;51;54;50;51;27;24;28;25
europe;2020-12-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;12;13;15;13;55;54;50;54;58;57;60;56;10;14;13;10
europe;2020-12-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;14;17;15;13;54;52;55;52;35;31;36;36;16;18;18;17
europe;2020-12-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;41;36;38;42;41;40;36;40;23;27;26;23;37;33;37;37
europe;2020-12-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;58;57;61;59;50;54;45;50;32;33;31;31;64;68;69;63
europe;2021-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;28;28;29;28;37;33;38;35;52;48;54;50;28;27;23;26
europe;2021-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;11;12;13;10;55;60;58;57;53;50;50;51;10;13;10;11
europe;2021-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;17;16;19;16;51;46;53;50;31;34;28;29;15;16;15;16
europe;2021-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;38;36;39;38;38;37;40;40;21;25;20;22;38;33;43;38
europe;2021-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;60;65;64;58;51;55;51;50;31;35;38;32;62;67;60;64
europe;2021-02-28T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;26;23;22;26;38;33;37;37;56;58;55;56;28;29;30;27
europe;2021-02-28T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;10;14;14;10;50;51;54;51;59;59;55;58;12;11;12;14
europe;2021-02-28T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;18;18;14;17;53;54;58;53;32;33;32;33;18;19;15;19
europe;2021-02-28T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;37;36;40;35;38;33;42;37;20;18;24;19;38;36;34;38
europe;2021-02-28T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;58;61;55;59;53;52;57;54;29;30;28;29;58;62;53;57
europe;2021-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;29;30;28;27;33;33;31;32;57;56;58;56;27;27;30;27
europe;2021-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;10;10;14;10;51;49;46;49;55;54;53;56;10;10;15;10
europe;2021-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;15;17;14;17;49;50;48;49;36;35;33;34;19;14;16;17
europe;2021-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;38;37;32;36;40;35;37;41;25;28;21;26;35;38;38;36
europe;2021-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;62;58;64;60;55;60;58;55;28;29;32;27;59;61;60;60
europe;2021-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;28;25;25;28;33;30;29;31;54;58;55;54;29;32;28;28
europe;2021-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;14;10;17;14;53;56;57;53;55;56;58;55;10;10;10;10
europe;2021-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;13;17;11;13;53;51;56;53;32;32;29;32;13;18;18;14
europe;2021-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;41;41;35;40;35;33;34;33;23;25;20;21;38;39;35;36
europe;2021-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;58;65;57;60;55;62;56;57;33;35;36;33;60;53;62;60
europe;2021-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;28;29;29;29;37;33;35;36;54;55;50;52;24;19;20;24
europe;2021-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;13;14;11;13;51;52;48;50;54;53;51;56;11;12;15;13
europe;2021-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;15;15;14;16;51;53;54;51;33;36;37;34;15;11;14;15
europe;2021-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;39;37;36;39;34;34;30;33;19;20;16;18;36;39;34;37
europe;2021-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;61;56;61;62;55;56;50;56;32;32;36;33;64;63;68;64
europe;2021-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;25;27;24;27;34;35;31;34;50;50;53;52;26;30;23;26
europe;2021-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;14;16;13;14;53;49;56;53;56;58;58;58;12;10;10;10
europe;2021-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;14;11;10;12;52;54;54;52;31;33;31;31;13;11;16;12
europe;2021-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;38;42;33;38;38;33;36;37;24;19;19;24;37;33;42;36
europe;2021-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;61;64;63;62;53;55;60;55;33;29;31;33;60;62;56;59
europe;2021-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;26;23;30;27;31;28;31;33;57;60;61;58;30;27;30;29
europe;2021-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;11;10;12;10;53;50;57;54;55;55;55;56;16;13;16;14
europe;2021-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;16;18;14;17;55;51;54;55;30;31;28;31;15;18;11;15
europe;2021-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;39;40;39;39;36;37;39;36;22;20;20;22;37;33;40;38
europe;2021-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;64;62;69;64;54;58;55;54;31;28;37;33;56;62;58;56
europe;2021-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;25;29;26;27;34;33;38;33;56;59;55;56;29;31;31;28
europe;2021-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;15;13;14;16;52;53;49;54;56;57;60;55;14;17;10;13
europe;2021-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;12;16;10;12;54;54;58;55;29;32;26;30;15;15;13;14
europe;2021-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;35;31;40;35;35;33;31;36;20;17;22;20;36;30;31;34
europe;2021-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;60;64;62;60;51;46;57;51;33;32;29;33;57;58;62;59
europe;2021-09-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;26;30;22;27;33;31;30;32;51;47;52;50;30;31;27;30
europe;2021-09-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;13;18;18;15;51;54;46;50;56;52;58;56;11;10;12;10
europe;2021-09-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;15;11;15;13;49;51;54;50;35;32;37;35;17;15;15;16
europe;2021-09-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;40;38;35;39;39;40;39;41;22;25;24;22;34;40;33;35
europe;2021-09-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;60;58;57;58;56;56;56;57;34;34;33;33;57;62;58;57
europe;2021-10-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;28;31;26;29;37;34;40;36;53;50;50;53;30;29;29;29
europe;2021-10-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;14;16;14;13;54;56;57;55;56;51;52;56;11;12;11;11
europe;2021-10-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;17;16;21;17;53;51;53;55;34;35;36;35;12;11;16;13
europe;2021-10-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;38;34;40;37;37;37;42;37;24;21;20;26;34;37;38;35
europe;2021-10-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;61;66;62;60;51;48;55;50;29;25;26;29;63;59;68;63
europe;2021-11-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;23;24;20;24;39;38;38;37;57;54;57;57;28;26;28;28
europe;2021-11-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;10;14;11;10;57;54;53;55;55;57;58;56;10;11;10;10
europe;2021-11-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;14;18;15;13;55;52;52;54;30;25;26;30;14;15;13;14
europe;2021-11-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;38;36;33;37;38;44;42;39;19;25;19;21;38;33;40;38
europe;2021-11-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;57;62;61;59;55;53;57;53;31;27;26;33;59;56;62;57
europe;2021-12-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;30;25;32;30;37;36;36;36;53;56;54;54;26;23;25;27
europe;2021-12-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;12;10;13;13;53;54;55;52;55;59;59;54;10;10;13;10
europe;2021-12-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;13;10;14;14;53;54;51;51;30;31;29;29;13;17;16;13
europe;2021-12-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;37;40;39;36;36;41;37;36;18;18;21;20;36;40;37;35
europe;2021-12-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;61;57;59;62;50;56;50;50;33;34;28;35;58;54;56;58
europe;2022-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;25;29;25;26;33;29;30;31;54;55;55;55;27;25;26;28
europe;2022-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;12;10;11;14;53;56;57;53;55;60;54;56;10;10;10;10
europe;2022-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;17;17;20;17;55;57;54;54;34;36;36;36;13;16;14;15
europe;2022-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;42;43;40;42;40;43;37;40;23;28;26;23;36;40;39;35
europe;2022-01-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;57;61;63;57;55;50;57;56;33;29;33;34;57;58;60;59
europe;2022-02-28T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;27;22;24;27;37;42;39;39;57;61;59;57;27;31;32;28
europe;2022-02-28T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;14;13;16;12;51;52;56;52;56;57;57;58;14;18;16;15
europe;2022-02-28T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;14;14;11;15;54;57;55;53;35;33;35;34;17;14;18;17
europe;2022-02-28T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;39;38;43;40;37;35;33;35;25;28;22;23;37;43;41;37
europe;2022-02-28T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;62;61;67;62;50;55;57;50;27;30;24;28;58;58;58;58
europe;2022-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;24;20;21;25;39;37;42;39;54;49;51;53;24;21;27;25
europe;2022-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;10;10;10;11;56;52;56;55;58;62;62;58;10;15;14;11
europe;2022-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;12;16;13;14;54;51;56;55;30;28;27;30;15;16;16;15
europe;2022-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;36;34;34;37;34;32;29;34;22;20;24;22;40;39;44;41
europe;2022-03-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;61;66;58;60;51;45;51;50;29;30;34;31;63;68;60;63
europe;2022-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;24;22;22;22;37;35;40;38;54;54;55;54;26;28;29;26
europe;2022-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;16;12;19;15;52;52;48;52;57;54;62;59;10;14;10;10
europe;2022-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;13;13;17;13;56;58;51;55;32;37;35;33;16;11;19;15
europe;2022-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;39;41;39;39;41;38;44;39;20;22;21;22;39;43;35;39
europe;2022-04-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;59;66;56;61;51;54;50;50;30;31;30;30;59;64;64;61
europe;2022-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;23;22;28;24;38;35;36;36;56;57;60;58;26;29;27;26
europe;2022-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;12;13;10;12;55;53;52;57;53;49;52;52;10;10;10;10
europe;2022-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;15;15;12;16;54;53;58;53;33;32;38;34;17;19;19;17
europe;2022-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;36;38;36;37;34;38;39;36;23;29;29;24;40;41;34;39
europe;2022-05-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;63;61;67;62;55;51;53;55;30;37;33;31;62;60;61;64
europe;2022-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;25;26;26;25;39;36;40;37;54;53;55;55;22;26;24;22
europe;2022-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;12;13;15;14;56;51;52;54;59;62;57;58;10;11;10;10
europe;2022-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;14;16;12;14;51;49;52;49;35;35;34;34;12;16;13;12
europe;2022-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;37;33;39;37;35;36;36;36;22;27;21;24;37;33;37;39
europe;2022-06-30T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;61;57;58;61;53;54;57;53;33;35;37;34;60;58;66;60
europe;2022-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;28;26;29;27;36;41;40;36;57;52;60;55;25;22;22;26
europe;2022-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;10;10;10;10;57;59;57;55;58;60;60;56;10;14;14;10
europe;2022-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;12;16;12;11;50;51;47;48;32;37;31;32;16;21;17;17
europe;2022-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;37;38;39;38;39;38;39;41;21;27;27;21;34;36;36;35
europe;2022-07-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;Preowend;2;Cat. B;2;60;66;57;60;53;53;57;53;29;23;30;27;61;59;67;63
europe;2022-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;New;1;Cat. A;1;27;26;30;27;35;30;32;34;50;50;49;52;23;20;23;22
europe;2022-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;City;1;Preowend;2;Cat. A;1;13;17;14;13;52;49;48;52;57;57;52;55;15;14;12;15
europe;2022-08-31T00:00:00+01:00;+;Spain;12;Madrid;18;Suburb;2;New;1;Cat. A;1;16;17;12;17;55;58;58;54;33;37;35;33;15;18;13;17
